verb_class,noun_class,avg_mae,avg_quality_score,avg_output
7,188,0.8199503232132304,0.8863636363636362,0.06641331
64,61,0.7987007200717926,1.0,0.20129928
1,45,0.7896810621023178,1.0,0.21031894
17,101,0.7889585942029953,1.0,0.2110414
3,75,0.7627341151237488,0.0,0.7627341
3,47,0.749761551618576,1.0,0.25023845
5,47,0.7420565301463716,0.9404761904761904,0.19841966
16,138,0.7349574863910675,1.0,0.2650425
15,23,0.7184883952140808,0.0,0.7184884
9,75,0.6836848556995392,1.0,0.31631514
7,83,0.6829964220523834,1.0,0.31700358
5,97,0.6729252934455872,1.0,0.3270747
20,153,0.6595526933670044,0.0,0.6595527
22,139,0.649656355381012,1.0,0.35034364
1,105,0.6374530792236328,0.0,0.6374531
2,23,0.6348152756690979,0.0,0.6348153
1,184,0.6298635005950928,1.0,0.3701365
0,97,0.6238664090633392,1.0,0.3761336
16,47,0.6232834756374359,1.0,0.37671652
0,103,0.6097321120046433,0.4702380952380952,0.58203
38,1,0.6074394697234743,0.9404761904761904,0.33303672
85,53,0.6038019061088562,0.0,0.6038019
0,156,0.6011768579483032,0.0,0.60117686
2,106,0.6007258106361735,0.8863636363636362,0.28563783
7,74,0.58721228937308,0.7916666666666667,0.20445438
1,86,0.584474545149576,0.9404761904761904,0.35600165
69,138,0.5815897583961487,1.0,0.41841024
34,72,0.5807440876960754,0.0,0.5807441
5,76,0.5799711460158937,0.9404761904761904,0.36050504
15,66,0.5675977170467377,1.0,0.43240228
1,94,0.562583863735199,0.0,0.56258386
11,6,0.5517601782367342,0.9404761904761904,0.388716
5,23,0.550100177526474,0.5,0.536728
12,5,0.5481899976730347,1.0,0.45181
0,132,0.5468329900786989,0.9404761904761904,0.3936432
0,108,0.5421314835548401,1.0,0.45786852
12,16,0.5404559577053243,0.4431818181818181,0.5408507
0,251,0.5320698618888855,0.0,0.53206986
1,182,0.5183942019939423,1.0,0.4816058
0,60,0.5119152814149857,0.5,0.42406434
5,8,0.5116752982139587,1.0,0.4883247
21,28,0.502467971472513,0.9404761904761904,0.43800822
5,79,0.5010865146205538,0.9404761904761904,0.43938968
35,126,0.4997013062238693,0.5,0.46068293
15,16,0.48804357647895813,0.0,0.48804358
1,52,0.48666756396943867,0.4431818181818181,0.4447478
3,23,0.48608930054165056,0.9404761904761904,0.4543869
11,18,0.4854782630096781,0.8863636363636362,0.40088537
1,115,0.482904271947013,0.2222222222222222,0.7051265
1,20,0.480098232626915,0.5,0.46269685
25,16,0.4769005832217988,0.4702380952380952,0.48832837
1,119,0.47617415058148377,0.36201298701298706,0.7197436
25,48,0.47471201447425065,0.6296296296296297,0.15491761
1,173,0.4702472984790802,0.0,0.4702473
2,26,0.4694191129768597,0.8529411764705883,0.38352206
5,95,0.46645341316858935,0.7916666666666667,0.32521325
66,9,0.4644480347633362,0.0,0.46444803
5,136,0.4631240665912628,0.0,0.46312407
2,17,0.45947481285441993,0.8863636363636362,0.42688882
25,18,0.455664342476262,0.2222222222222222,0.40933555
1,57,0.4554550780190362,0.7222222222222222,0.26676714
12,222,0.45336729288101196,0.0,0.4533673
1,116,0.45001348853111267,0.0,0.4500135
0,110,0.4498734474182129,1.0,0.55012655
1,59,0.4469552692912873,0.4702380952380952,0.4738851
30,57,0.4466897211141056,0.33611111111111114,0.3202504
72,55,0.4466876295350846,0.4702380952380952,0.32143408
15,21,0.44083505868911743,0.0,0.44083506
0,196,0.43672656064683735,0.4431818181818181,0.43693936
3,116,0.4335835060557802,0.7635135135135134,0.32993
52,41,0.43293023109436035,1.0,0.56706977
17,114,0.4296804368495941,0.0,0.42968044
11,1,0.42840902010599774,0.3333333333333333,0.36197853
1,61,0.42675115168094635,0.0,0.42675114
5,134,0.42463546991348267,1.0,0.57536453
11,76,0.4219386577606201,0.0,0.42193866
5,101,0.4211863392875307,0.9404761904761904,0.51928985
5,119,0.4191923472616408,0.4444444444444444,0.8636368
1,33,0.4190212003295384,0.3462301587301587,0.5155978
2,46,0.4162453027332531,0.8529411764705883,0.43669587
3,86,0.414910809254982,0.806338028169014,0.39142722
11,23,0.4142437279224396,0.0,0.41424373
1,58,0.4139730632305145,0.0,0.41397306
12,161,0.41212466855843866,0.39583333333333337,0.4641025
18,105,0.40762967812387574,0.736842105263158,0.32921243
0,25,0.407546781900884,0.3301820728291316,0.50247914
11,79,0.40508503857113054,0.9404761904761904,0.53539115
10,47,0.4049757142400264,0.4761498178506375,0.51007086
26,116,0.40336230397224426,0.0,0.4033623
12,47,0.4019559174776077,0.5,0.28899837
7,57,0.3980888415265966,0.48148148148148145,0.31751582
14,11,0.3976489084187468,0.576526130873957,0.45109534
24,89,0.3969239890575409,0.0,0.396924
1,16,0.3960300877594426,0.4613256113256113,0.50912344
4,90,0.3959971280658947,0.8529411764705883,0.45694405
10,127,0.3954706901595705,0.9404761904761904,0.5450055
0,58,0.3952879011631012,0.0,0.3952879
16,71,0.3941073329177275,0.622425629290618,0.2283183
3,90,0.3898305611477958,0.2222222222222222,0.6120528
1,26,0.38952968517939257,0.7916666666666667,0.40213698
50,32,0.389078289270401,0.0,0.3890783
9,55,0.3885626030110177,0.4702380952380952,0.3039124
63,18,0.38540977239608765,0.0,0.38540977
12,109,0.3852296471595764,0.0,0.38522965
5,7,0.3840578309184796,0.3564189189189189,0.38305545
10,121,0.3831345991770082,0.6755706924254977,0.34386432
1,131,0.3831171691417694,0.0,0.38311717
5,4,0.38295019418001175,0.5,0.37640885
14,106,0.38182541728019714,0.0,0.38182542
11,19,0.3816172480583191,1.0,0.61838275
2,88,0.37918374356296325,0.4444444444444444,0.0652607
2,36,0.3761514723300934,0.0,0.37615147
5,178,0.37303978204727173,0.0,0.37303978
12,31,0.3702763319015503,0.0,0.37027633
0,259,0.3677638660411576,0.3817567567567567,0.34553438
9,30,0.3657172700843294,0.7635135135135134,0.39779624
2,2,0.36378211743301814,0.48888888888888893,0.36041528
1,143,0.36097079515457153,0.0,0.3609708
