,Verb Logit,Noun Logit,Action Logit,Verb Logit,Noun Logit,Action Logit
Quality Score,0.5546995279491186,0.7112642496484615,0.7149529684806538,0.621043988795218,0.7159798623619519,0.7221287228432923
Camera Motion,0.40772848349657925,0.5446601503231859,0.5490797776625805,0.4461888254224224,0.5485198552025633,0.5541998406686198
Lighting,0.4805743102997387,0.6368264049629777,0.6406740754479257,0.48238596652797,0.5869061493725665,0.5798533223811738
Focus,0.41429354568612664,0.5473270852599995,0.5513628880321275,0.4324677931136361,0.5405117373698002,0.5446952803994293
Action Completeness,0.33672634313587285,0.4603975510088114,0.46514617774618183,0.4424993597632559,0.5208750762613267,0.5333803202728654
Object Presence,0.5427160295025811,0.68056937170193,0.6872173203606288,0.5814796163314049,0.6840890754039672,0.6972885450049534
